product_id,name,description,cost,image_filename
0,phone cases,"Stylish and durable phone cases that protect your device from scratches, drops, and everyday wear. Choose from sleek, colorful, or rugged designs to match your style!",20,pic1.jpg
14,phone chargers,"Fast and reliable phone chargers to keep your devices powered up anytime, anywhere. Compact, durable, and perfect for everyday use!",25,pic2.jpg
15,headphones,"Experience crystal-clear sound with our comfortable and stylish headphones. Perfect for music, calls, and gaming on the go",65,pic3.jpg	
16,Screen Protectors,"Durable and crystal-clear screen protectors that guard your phone against scratches, smudges, and cracks while keeping your display flawless.",20,pic4.jpg
17,camera protectors,"Strong and clear camera protectors to keep your lenses safe from scratches, dust, and cracks without affecting photo quality.",15,pic5.jpg
18,phone holder,"Convenient and sturdy phone holders for hands-free use, perfect for watching videos, video calls, or keeping your phone secure in the car.",50,pic6.jpg
19,back phone Protectors,Durable back phone protectors that shield your device from scratches and drops while keeping it sleek and stylish.,10,pic7.jpg
20,phone screen repair,"Quick and reliable phone screen repair to fix cracks and damage, restoring your display to like-new condition.",150,pic8.jpg
21,power bank,"Portable power banks to keep your devices charged on the go, so you never run out of battery",59,pic9.jpg
22,selfie sticks,"Extend your reach with selfie sticks, perfect for capturing wider shots and group photos with ease.",29.99,pic10.jpg
